,algorithm,dataset,time,uniqueness,ent_ratio,publisher,year
5,CNAFS,mushrooms.mat,179.8213,0.001600196947316593,0.2726332733223842,IEEE Transactions on Cybernetics,2020
25,CNAFS,warpPIE10P.mat,0.76135,0.5333333333333333,0.9845388845456221,IEEE Transactions on Cybernetics,2020
27,EGCFS,warpPIE10P.mat,1.849508,0.4666666666666667,0.9857585311602562,IEEE transactions on neural networks and learning systems,2020
7,EGCFS,mushrooms.mat,54.903108,0.004923682914820286,0.9236227691833719,IEEE transactions on neural networks and learning systems,2020
17,FMIUFS,mushrooms.mat,1256.612091,0.0038158542589857214,0.903575549511619,IEEE Transactions on Fuzzy Systems,2021
39,FMIUFS,warpPIE10P.mat,180.316969,0.2,0.8091307061410855,IEEE Transactions on Fuzzy Systems,2021
30,FSDK,warpPIE10P.mat,0.502887,0.4238095238095238,0.970053905497678,IEEE Transactions on Neural Networks and Learning Systems,2023
10,FSDK,mushrooms.mat,1.14769,0.001846381093057607,0.7183694792608839,IEEE Transactions on Neural Networks and Learning Systems,2023
18,GRSSLSF,mushrooms.mat,7.012828,0.012186115214180207,0.7500945382837539,Transactions on Machine Learning Research,2024
40,GRSSLSF,warpPIE10P.mat,3.422851,0.23809523809523808,0.8017720118420735,Transactions on Machine Learning Research,2024
1,JMVFG,mushrooms.mat,141.191499,0.0023387493845396356,0.8398017768783381,IEEE Transactions on Emerging Topics in Computational Intelligence,2023
20,JMVFG,warpPIE10P.mat,2.487878,0.35714285714285715,0.9742494656639539,IEEE Transactions on Emerging Topics in Computational Intelligence,2023
32,LS,warpPIE10P.mat,0.010936,0.09047619047619047,0.682028143699116,,-1
12,LS,mushrooms.mat,0.691663,0.0020925652387986213,0.8526226850985539,,-1
19,MAX_VAR,warpPIE10P.mat,0.001157,0.22380952380952382,0.8507508227515367,,-1
0,MAX_VAR,mushrooms.mat,0.091642,0.01809453471196455,0.9817078029630051,,-1
3,MCFS,mushrooms.mat,0.566827,0.005046774987690792,0.9173702787037251,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2010
22,MCFS,warpPIE10P.mat,0.036965,0.32857142857142857,0.9510068911598885,ACM SIGKDD Conference on Knowledge Discovery and Data Mining,2010
16,MGAGR,mushrooms.mat,2953.56478,0.45420974889217136,1.0,IEEE Transactions on Knowledge and Data Engineering,2021
37,MGAGR,warpPIE10P.mat,91.960442,1.0,1.0,IEEE Transactions on Knowledge and Data Engineering,2021
14,NDFS,mushrooms.mat,107.653306,0.0030773018217626785,0.8710961290073147,AAAI,2012
35,NDFS,warpPIE10P.mat,15.727871,0.2714285714285714,0.9585219745147978,AAAI,2012
21,PROPQ,warpPIE10P.mat,55.388061,0.21428571428571427,0.924591153599805,,-1
2,PROPQ,mushrooms.mat,1.277094,0.022648941408173313,0.9833225789156431,,-1
31,RAFG,warpPIE10P.mat,356.50694,0.16666666666666666,0.8794473069131996,Applied Intelligence,2024
11,RAFG,mushrooms.mat,8545.625348,0.001600196947316593,0.48181272072213444,Applied Intelligence,2024
13,RUSLP,mushrooms.mat,12.83679,0.001846381093057607,0.6953539742187668,Information Sciences,2022
34,RUSLP,warpPIE10P.mat,2.655022,0.3476190476190476,0.9321059060797581,Information Sciences,2022
8,SLNMF,mushrooms.mat,44.234533,0.0009847365829640572,0.5199202783564616,Expert Systems with Applications,2023
28,SLNMF,warpPIE10P.mat,3.868682,0.3,0.7742515763029506,Expert Systems with Applications,2023
26,SOCFS,warpPIE10P.mat,77.641643,0.10476190476190476,0.7518327239484107,CVPR,2015
6,SOCFS,mushrooms.mat,11.351842,0.02141802067946824,0.9779361921960008,CVPR,2015
36,U2FS,warpPIE10P.mat,64.883406,0.3761904761904762,0.9827343757179549,PeerJ Comput Sci,2021
15,U2FS,mushrooms.mat,8.610334,0.004923682914820286,0.9335093870789644,PeerJ Comput Sci,2021
24,UDFS,warpPIE10P.mat,12.674938,0.2571428571428571,0.8942059980688367,IJCAI'11,2011
4,UDFS,mushrooms.mat,5.146075,0.0022156573116691287,0.8693068117588829,IJCAI'11,2011
29,VCSDFS,warpPIE10P.mat,14.135759,0.30952380952380953,0.949949126317206,Neural Networks,2023
9,VCSDFS,mushrooms.mat,36.883548,0.007385524372230428,0.9309664769042544,Neural Networks,2023
