,algorithm,dataset,time,uniqueness,ent_ratio
25,CNAFS,warpPIE10P.mat,0.76135,0.5333333333333333,0.9845388845456221
27,EGCFS,warpPIE10P.mat,1.849508,0.4666666666666667,0.9857585311602562
39,FMIUFS,warpPIE10P.mat,180.316969,0.2,0.8091307061410855
30,FSDK,warpPIE10P.mat,0.502887,0.4238095238095238,0.970053905497678
40,GRSSLSF,warpPIE10P.mat,3.422851,0.23809523809523808,0.8017720118420735
20,JMVFG,warpPIE10P.mat,2.487878,0.35714285714285715,0.9742494656639539
32,LS,warpPIE10P.mat,0.010936,0.09047619047619047,0.682028143699116
19,MAX_VAR,warpPIE10P.mat,0.001157,0.22380952380952382,0.8507508227515367
22,MCFS,warpPIE10P.mat,0.036965,0.32857142857142857,0.9510068911598885
37,MGAGR,warpPIE10P.mat,91.960442,1.0,1.0
35,NDFS,warpPIE10P.mat,15.727871,0.2714285714285714,0.9585219745147978
21,PROPQ,warpPIE10P.mat,55.388061,0.21428571428571427,0.924591153599805
31,RAFG,warpPIE10P.mat,356.50694,0.16666666666666666,0.8794473069131996
33,RSOBC,warpPIE10P.mat,0.468639,0.2,0.8167859239333901
34,RUSLP,warpPIE10P.mat,2.655022,0.3476190476190476,0.9321059060797581
28,SLNMF,warpPIE10P.mat,3.868682,0.3,0.7742515763029506
26,SOCFS,warpPIE10P.mat,77.641643,0.10476190476190476,0.7518327239484107
38,SSDS,warpPIE10P.mat,51.385836,0.22380952380952382,0.835007322708756
36,U2FS,warpPIE10P.mat,64.883406,0.3761904761904762,0.9827343757179549
24,UDFS,warpPIE10P.mat,12.674938,0.2571428571428571,0.8942059980688367
23,UFS2,warpPIE10P.mat,1.027611,0.15714285714285714,0.7495023022350612
29,VCSDFS,warpPIE10P.mat,14.135759,0.30952380952380953,0.949949126317206
